"_time",host,id,lockMode,transactionname,victim,waittime,"_raw"
"2026-02-28T10:08:57.380+0800",WINDB01HV02N,"process150dcc3d468 process151a9067c28","Sch-M",UpdateQPStats,process151a9067c28,503,"2026-02-28 10:08:57.38 spid14s     deadlock-list
2026-02-28 10:08:57.38 spid14s      deadlock victim=process151a9067c28
2026-02-28 10:08:57.38 spid14s       process-list
2026-02-28 10:08:57.38 spid14s        process id=process151a9067c28 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 5), lockPartitionId = 0 ownerId=12622298724 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:08:55.663 XDES=0x2aee7358460 lockMode=Sch-M schedulerid=19 kpid=13812 status=background spid=872 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:08:57.38 spid14s         executionStack
2026-02-28 10:08:57.38 spid14s         inputbuf
2026-02-28 10:08:57.38 spid14s        process id=process150dcc3d468 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 5), lockPartitionId = 18 waittime=503 XDES=0x237b842c040 lockMode=Sch-M schedulerid=20 kpid=8016 status=background spid=84 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:08:57.38 spid14s         executionStack
2026-02-28 10:08:57.38 spid14s         inputbuf
2026-02-28 10:08:57.38 spid14s       resource-list"
"2026-02-28T10:07:47.430+0800",WINDB02ST02N,"process17c1d737c28 process2f3b6637848","Sch-M",UpdateQPStats,process17c1d737c28,"1 104","2026-02-28 10:07:47.43 spid15s     deadlock-list
2026-02-28 10:07:47.43 spid15s      deadlock victim=process17c1d737c28
2026-02-28 10:07:47.43 spid15s       process-list
2026-02-28 10:07:47.43 spid15s        process id=process17c1d737c28 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 13), lockPartitionId = 0 waittime=1 ownerId=12134453651 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:07:46.937 XDES=0x17c76ff8460 lockMode=Sch-M schedulerid=21 kpid=11576 status=background spid=39 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:07:47.43 spid15s         executionStack
2026-02-28 10:07:47.43 spid15s         inputbuf
2026-02-28 10:07:47.43 spid15s        process id=process2f3b6637848 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 13), lockPartitionId = 20 waittime=104 XDES=0x17e0f5b8040 lockMode=Sch-M schedulerid=25 kpid=3120 status=background spid=32 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:07:47.43 spid15s         executionStack
2026-02-28 10:07:47.43 spid15s         inputbuf
2026-02-28 10:07:47.43 spid15s       resource-list"
"2026-02-28T10:07:46.930+0800",WINDB02ST02N,"process2f3b6637848 process30d4b385088","Sch-M",UpdateQPStats,process30d4b385088,54,"2026-02-28 10:07:46.93 spid15s     deadlock-list
2026-02-28 10:07:46.93 spid15s      deadlock victim=process30d4b385088
2026-02-28 10:07:46.93 spid15s       process-list
2026-02-28 10:07:46.93 spid15s        process id=process30d4b385088 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 7), lockPartitionId = 0 ownerId=12134450983 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:07:46.060 XDES=0x23589d7c460 lockMode=Sch-M schedulerid=2 kpid=12464 status=background spid=891 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:07:46.93 spid15s         executionStack
2026-02-28 10:07:46.93 spid15s         inputbuf
2026-02-28 10:07:46.93 spid15s        process id=process2f3b6637848 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 7), lockPartitionId = 1 waittime=54 XDES=0x18918ecc040 lockMode=Sch-M schedulerid=25 kpid=3120 status=background spid=32 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:07:46.93 spid15s         executionStack
2026-02-28 10:07:46.93 spid15s         inputbuf
2026-02-28 10:07:46.93 spid15s       resource-list"
"2026-02-28T10:07:45.840+0800",WINDB02ST02N,"process17c1d73b468 process2f3b6637848","Sch-M",UpdateQPStats,process17c1d73b468,"1 210","2026-02-28 10:07:45.84 spid15s     deadlock-list
2026-02-28 10:07:45.84 spid15s      deadlock victim=process17c1d73b468
2026-02-28 10:07:45.84 spid15s       process-list
2026-02-28 10:07:45.84 spid15s        process id=process17c1d73b468 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 18), lockPartitionId = 0 waittime=1 ownerId=12134448489 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:07:45.167 XDES=0x17c28f64460 lockMode=Sch-M schedulerid=17 kpid=12092 status=background spid=24 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:07:45.84 spid15s         executionStack
2026-02-28 10:07:45.84 spid15s         inputbuf
2026-02-28 10:07:45.84 spid15s        process id=process2f3b6637848 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 18), lockPartitionId = 16 waittime=210 XDES=0x17d1cd4c040 lockMode=Sch-M schedulerid=25 kpid=3120 status=background spid=32 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:07:45.84 spid15s         executionStack
2026-02-28 10:07:45.84 spid15s         inputbuf
2026-02-28 10:07:45.84 spid15s       resource-list"
"2026-02-28T10:07:38.240+0800",WINDB02ST02N,"process2f3b6637848 process3291c6c1468","Sch-M",UpdateQPStats,process3291c6c1468,"1 230","2026-02-28 10:07:38.24 spid15s     deadlock-list
2026-02-28 10:07:38.24 spid15s      deadlock victim=process3291c6c1468
2026-02-28 10:07:38.24 spid15s       process-list
2026-02-28 10:07:38.24 spid15s        process id=process3291c6c1468 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 11), lockPartitionId = 0 waittime=1 ownerId=12134426275 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:07:36.650 XDES=0x17ce55c8460 lockMode=Sch-M schedulerid=30 kpid=11848 status=background spid=30 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:07:38.24 spid15s         executionStack
2026-02-28 10:07:38.24 spid15s         inputbuf
2026-02-28 10:07:38.24 spid15s        process id=process2f3b6637848 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 11), lockPartitionId = 29 waittime=230 XDES=0x17e96cdc040 lockMode=Sch-M schedulerid=25 kpid=3120 status=background spid=32 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:07:38.24 spid15s         executionStack
2026-02-28 10:07:38.24 spid15s         inputbuf
2026-02-28 10:07:38.24 spid15s       resource-list"
"2026-02-28T10:07:35.410+0800",WINDB02ST02N,"process17c1d737468 process2f3b6637848","Sch-M",UpdateQPStats,process17c1d737468,500,"2026-02-28 10:07:35.41 spid15s     deadlock-list
2026-02-28 10:07:35.41 spid15s      deadlock victim=process17c1d737468
2026-02-28 10:07:35.41 spid15s       process-list
2026-02-28 10:07:35.41 spid15s        process id=process17c1d737468 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 6), lockPartitionId = 0 ownerId=12134419497 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:07:33.867 XDES=0x17c76ff8460 lockMode=Sch-M schedulerid=21 kpid=1164 status=background spid=880 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:07:35.41 spid15s         executionStack
2026-02-28 10:07:35.41 spid15s         inputbuf
2026-02-28 10:07:35.41 spid15s        process id=process2f3b6637848 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 6), lockPartitionId = 20 waittime=500 XDES=0x17e0c9b8040 lockMode=Sch-M schedulerid=25 kpid=3120 status=background spid=32 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:07:35.41 spid15s         executionStack
2026-02-28 10:07:35.41 spid15s         inputbuf
2026-02-28 10:07:35.41 spid15s       resource-list"
"2026-02-28T10:07:31.420+0800",WINDB02ST02N,"process17ce50ee108 process2f3b6637848","Sch-M",UpdateQPStats,process17ce50ee108,"1 55","2026-02-28 10:07:31.42 spid15s     deadlock-list
2026-02-28 10:07:31.42 spid15s      deadlock victim=process17ce50ee108
2026-02-28 10:07:31.42 spid15s       process-list
2026-02-28 10:07:31.42 spid15s        process id=process17ce50ee108 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 1), lockPartitionId = 0 waittime=1 ownerId=12134411752 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:07:30.967 XDES=0x2f994820460 lockMode=Sch-M schedulerid=12 kpid=9300 status=background spid=859 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:07:31.42 spid15s         executionStack
2026-02-28 10:07:31.42 spid15s         inputbuf
2026-02-28 10:07:31.42 spid15s        process id=process2f3b6637848 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 1), lockPartitionId = 11 waittime=55 XDES=0x17e98294040 lockMode=Sch-M schedulerid=25 kpid=3120 status=background spid=32 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:07:31.42 spid15s         executionStack
2026-02-28 10:07:31.42 spid15s         inputbuf
2026-02-28 10:07:31.42 spid15s       resource-list"
"2026-02-28T10:07:30.550+0800",WINDB02ST02N,"process19215029088 process2f3b6637848","Sch-M",UpdateQPStats,process19215029088,937,"2026-02-28 10:07:30.55 spid15s     deadlock-list
2026-02-28 10:07:30.55 spid15s      deadlock victim=process19215029088
2026-02-28 10:07:30.55 spid15s       process-list
2026-02-28 10:07:30.55 spid15s        process id=process19215029088 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 8), lockPartitionId = 0 ownerId=12134405317 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:07:29.090 XDES=0x1a4e5d74460 lockMode=Sch-M schedulerid=14 kpid=5248 status=background spid=38 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:07:30.55 spid15s         executionStack
2026-02-28 10:07:30.55 spid15s         inputbuf
2026-02-28 10:07:30.55 spid15s        process id=process2f3b6637848 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 8), lockPartitionId = 13 waittime=937 XDES=0x17e96d54040 lockMode=Sch-M schedulerid=25 kpid=3120 status=background spid=32 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:07:30.55 spid15s         executionStack
2026-02-28 10:07:30.55 spid15s         inputbuf
2026-02-28 10:07:30.55 spid15s       resource-list"
"2026-02-28T10:07:18.460+0800",WINDB02ST02N,"process2f3b6637848 process3291c6c1468","Sch-M",UpdateQPStats,process3291c6c1468,"1 71","2026-02-28 10:07:18.46 spid15s     deadlock-list
2026-02-28 10:07:18.46 spid15s      deadlock victim=process3291c6c1468
2026-02-28 10:07:18.46 spid15s       process-list
2026-02-28 10:07:18.46 spid15s        process id=process3291c6c1468 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 14), lockPartitionId = 0 waittime=1 ownerId=12134374166 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:07:17.060 XDES=0x17ce55c8460 lockMode=Sch-M schedulerid=30 kpid=11848 status=background spid=30 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:07:18.46 spid15s         executionStack
2026-02-28 10:07:18.46 spid15s         inputbuf
2026-02-28 10:07:18.46 spid15s        process id=process2f3b6637848 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 14), lockPartitionId = 29 waittime=71 XDES=0x17c4c668040 lockMode=Sch-M schedulerid=25 kpid=3120 status=background spid=32 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:07:18.46 spid15s         executionStack
2026-02-28 10:07:18.46 spid15s         inputbuf
2026-02-28 10:07:18.46 spid15s       resource-list"
"2026-02-28T10:07:15.760+0800",WINDB02ST02N,"process192af9c8ca8 process2f3b6637848","Sch-M",UpdateQPStats,process192af9c8ca8,"1 136","2026-02-28 10:07:15.76 spid15s     deadlock-list
2026-02-28 10:07:15.76 spid15s      deadlock victim=process192af9c8ca8
2026-02-28 10:07:15.76 spid15s       process-list
2026-02-28 10:07:15.76 spid15s        process id=process192af9c8ca8 taskpriority=20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 15), lockPartitionId = 0 waittime=1 ownerId=12134365888 transactionname=UpdateQPStats lasttranstarted=2026-02-28T10:07:14.373 XDES=0x17c5bee8460 lockMode=Sch-M schedulerid=24 kpid=3992 status=background spid=33 sbid=0 ecid=0 priority=0 trancount=1
2026-02-28 10:07:15.76 spid15s         executionStack
2026-02-28 10:07:15.76 spid15s         inputbuf
2026-02-28 10:07:15.76 spid15s        process id=process2f3b6637848 taskpriority=-20 logused=0 waitresource=METADATA: database_id = 5 STATS(object_id = 1040214956, stats_id = 15), lockPartitionId = 23 waittime=136 XDES=0x18c41918040 lockMode=Sch-M schedulerid=25 kpid=3120 status=background spid=32 sbid=0 ecid=0 priority=0 trancount=0
2026-02-28 10:07:15.76 spid15s         executionStack
2026-02-28 10:07:15.76 spid15s         inputbuf
2026-02-28 10:07:15.76 spid15s       resource-list"
