currentdbname,victims,resources,"lock_modes",count,latest,earliest,"all_query"
master,"process348c949b088 process382505d3468 process38e73eb7088","KEY: 5:72057594042449920 (832105dc52c4) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S U",21,"2025/11/26 09:33:25.220","2025/11/26 09:33:23.080","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT81126Y%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
master,"process29a4a23d848 process38119248ca8","KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (9bf9b26f051d) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",20,"2025/11/26 09:33:28.870","2025/11/26 09:33:21.870","is_expired = 0 AND"
master,"process2d063c2a8c8 process38119248ca8","KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (0b87f2f2184b) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S U",19,"2025/11/26 09:33:29.680","2025/11/26 09:33:21.870","SET [is_locked] = 0, locked_time = NULL, locked_by = NULL"
master,"process29b0535f468 process2d063c2a108 process382505d3c28 process4002c7f68c8","KEY: 5:72057594042449920 (7a6d6e4bb7c8) KEY: 5:72057594042449920 (7bcd9ce0c1a1) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218716  PAGE: 5:1:5218717 ","IX S",19,"2025/11/26 09:33:24.810","2025/11/26 09:33:18.410","frame procname=adhoc line=1 stmtend=704 sqlhandle=0x020000005e8f8e3463736b2e87cbf42ee2c8d5855f032b270000000000000000000000000000000000000000"
"wagering_control","process1ff51a65848 process1ff53a33848 process1ff53a46ca8 process1ff53a51468","KEY: 8:415237773918208 (130ab3275e91) KEY: 8:415237773918208 (8457e478814d) KEY: 8:415237773918208 (b639c48618cb) KEY: 8:415237773918208 (dd696c96e078)",X,18,"2025/11/28 14:47:46.330","2025/11/28 14:33:47.990","frame procname=wagering_control.dbo.wcu_ins_collation_by_pool_commit line=300 stmtstart=23248 stmtend=23518 sqlhandle=0x03000800ade594746f8eb2009bb3000001000000000000000000000000000000000000000000000000000000"
master,process38119248ca8,"KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S U",17,"2025/11/26 09:33:21.870","2025/11/26 09:33:21.870","SELECT task_id"
master,"process29a4a23d848 process38e73eb7088","KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (832105dc52c4) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",17,"2025/11/26 09:33:28.870","2025/11/26 09:33:25.220","[comments] = ISNULL(@comments, [comments]), "
master,"process29b0535f848 process2d063c2a8c8 process4002c7f68c8","KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (004413f5c579) KEY: 5:72057594042449920 (0b87f2f2184b) KEY: 5:72057594042449920 (7a6d6e4bb7c8) PAGE: 5:1:1927466  PAGE: 5:1:5218716  PAGE: 5:1:5218717 ","IX S U",17,"2025/11/27 08:58:05.810","2025/11/26 09:33:18.410","unknown     "
master,"process29b0535f468 process38119248ca8 process4002c7f68c8","KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (7a6d6e4bb7c8) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218716  PAGE: 5:1:5218717 ","IX S U",16,"2025/11/26 09:33:21.870","2025/11/26 09:33:18.410","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT61126B%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
master,"process38e73eb7088 process3940075eca8 process4002c7f68c8","KEY: 5:72057594042449920 (7a6d6e4bb7c8) KEY: 5:72057594042449920 (832105dc52c4) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218716  PAGE: 5:1:5218717 ","IX S U",16,"2025/11/26 09:33:25.220","2025/11/26 09:33:18.410","[is_inprogress] = ISNULL(@inProgress, [is_inprogress]),"
