currentdbname,victims,resources,"lock_modes",count,latest,earliest,"all_query"
master,process38e73eb7088,"KEY: 5:72057594042449920 (832105dc52c4) PAGE: 5:1:5218717 ","IX S U",5,"2025/11/26 09:33:25.220","2025/11/26 09:33:25.220","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT101126F%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
"K2_Custom",process29afd8d7088,"KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (8f20a68aec2e) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a0a3dc748687) KEY: 5:72057594042449920 (945419c18964) PAGE: 5:1:1927470 ","IX S U",5,"2025/11/27 09:41:48.970","2025/11/27 09:41:48.970","WHERE is_cancelled = 0 AND"
master,process29a4a23d848,"KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",5,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","WHERE is_cancelled = 0 AND"
"K2_Custom",process29afd8d7088,"KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (8f20a68aec2e) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a0a3dc748687) KEY: 5:72057594042449920 (945419c18964) PAGE: 5:1:1927470 ","IX S U",5,"2025/11/27 09:41:48.970","2025/11/27 09:41:48.970","[comments] = ISNULL(@comments, [comments]), "
master,process29a4a23d848,"KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",5,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","[final_actioner] = ISNULL(@user_id, [final_actioner]),"
master,process38e73eb7088,"KEY: 5:72057594042449920 (832105dc52c4) PAGE: 5:1:5218717 ","IX S U",5,"2025/11/26 09:33:25.220","2025/11/26 09:33:25.220","is_completed = 0 AND "
master,process3940075eca8,"KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S",4,"2025/11/26 09:33:22.680","2025/11/26 09:33:22.680",",[full_assignment_roles]"
master,process38119248ca8,"KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S U",4,"2025/11/26 09:33:21.870","2025/11/26 09:33:21.870",",[full_assignment_roles_name]"
master,process3940075eca8,"KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S",4,"2025/11/26 09:33:22.680","2025/11/26 09:33:22.680",",[is_expired]"
master,"process2d33d7df468 process3ef7f2d48c8","KEY: 5:72057594042449920 (320237d00257) KEY: 5:72057594042449920 (9a5940c47374) PAGE: 5:1:5218716 ","IX S",4,"2025/11/26 09:33:18.010","2025/11/26 09:33:15.840","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT41126X%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
master,process38119248ca8,"KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S U",4,"2025/11/26 09:33:21.870","2025/11/26 09:33:21.870","UPDATE [dbo].[task_assignment_log]"
master,process38119248ca8,"KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042187776 (a8a96a7be6df) KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S U",4,"2025/11/26 09:33:21.870","2025/11/26 09:33:21.870","WHERE [task_id] = @task_i     "
master,process3940075eca8,"KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S",4,"2025/11/26 09:33:22.680","2025/11/26 09:33:22.680","[is_cancelled] = ISNULL(@isCancelled, [is_cancelled]),"
"K2_Custom",,"KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S",4,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","[is_completed] = ISNULL(@isCompleted, [is_completed]),"
master,process29b0535f848,"KEY: 5:72057594042449920 (004413f5c579) PAGE: 5:1:1927466 ","IX S",4,"2025/11/27 08:58:05.810","2025/11/27 08:58:05.810","frame procname=adhoc line=1 stmtend=704 sqlhandle=0x02000000e8162404d3ddb6c11c2518c7e233c14a9d576c6c0000000000000000000000000000000000000000"
"K2_Custom","process375e2d3a8c8 process39d97f38108","KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",4,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","owner id=process375e2d3a8c8"
"K2_Custom",,"KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S",4,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","owner id=process39d97f38108 mode=S requestType=wait"
master,process29b0535f848,"KEY: 5:72057594042449920 (004413f5c579) PAGE: 5:1:1927466 ","IX S",3,"2025/11/27 08:58:05.810","2025/11/27 08:58:05.810","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT81127M%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
master,process29b0535f848,"KEY: 5:72057594042449920 (004413f5c579) PAGE: 5:1:1927466 ","IX S",3,"2025/11/27 08:58:05.810","2025/11/27 08:58:05.810","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT91127X%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
"K2_Custom",process375e2d3a8c8,"KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",3,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","frame procname=adhoc line=1 stmtend=704 sqlhandle=0x020000009e43f51c404c8e1fda326aa4900d35c690b4eee00000000000000000000000000000000000000000"
"K2_Custom",process375e2d3a8c8,"KEY: 5:72057594042187776 (699126a0fb71) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",3,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","frame procname=adhoc line=1 stmtend=766 sqlhandle=0x0200000098a90a276e4a75fe3066d711aac72204c2b9cfa10000000000000000000000000000000000000000"
"wagering_control","process1ff51a65848 process1ff53a51468","KEY: 8:415237773918208 (8457e478814d) KEY: 8:415237773918208 (dd696c96e078)",X,3,"2025/11/28 14:33:53.000","2025/11/28 14:33:47.990","frame procname=wagering_control.dbo.wcu_ins_collation_commit line=481 stmtstart=34232 stmtend=34502 sqlhandle=0x030008001f2e7d768d8eb2009bb3000001000000000000000000000000000000000000000000000000000000"
"K2_Custom",process39d97f38108,"KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",3,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","owner id=process2d063c2bc28 mode=U"
"application_control",process190ec882108,"KEY: 12:72057594218938368 (12878ef64973) PAGE: 12:1:17961 ",U,2,"2025/11/24 10:09:37.970","2025/11/24 10:09:37.970","(@P0 datetime2,@P1 int,@P2 int,@P3 int,@P4 int)update itgw_db..pool_coord_fee_sim_by_mtg"
"agp4_db",process249e5e51c28,"METADATA: database_id = 5 STATS(object_id = 1960654328, stats_id = 12), lockPartitionId = 0 METADATA: database_id = 5 STATS(object_id = 917174613, stats_id = 18), lockPartitionId = 0","Sch-M Sch-S",2,"2025/11/29 08:46:51.230","2025/11/29 08:46:51.230","(@P0 int OUTPUT,@P1 varchar(8000) OUTPUT,@P2 int)EXEC usp_agp_get_edabi_rpt_1534 @P0 OUT,@P1 OUT,@P2    "
"agp4_db",process249e5e51c28,"METADATA: database_id = 5 STATS(object_id = 1960654328, stats_id = 12), lockPartitionId = 0 METADATA: database_id = 5 STATS(object_id = 917174613, stats_id = 18), lockPartitionId = 0","Sch-M Sch-S",2,"2025/11/29 08:46:51.230","2025/11/29 08:46:51.230","(@P0 int OUTPUT,@P1 varchar(8000) OUTPUT,@P2 int)EXEC usp_get_ba_rpt_1111 @P0 OUT,@P1 OUT,@P2    "
"application_control",process190ec882108,"KEY: 12:72057594218938368 (12878ef64973) PAGE: 12:1:17961 ",U,2,"2025/11/24 10:09:37.970","2025/11/24 10:09:37.970","(@P0 int,@P1 int,@P2 int,@P3 int,@P4 nvarchar(4000),@P5 int,@P6 int,@P7 int,@P8 bigint,@P9 nvarchar(4000),@P10 datetime2,@P11 datetime2,@P12 nvarchar(4000),@P13 int,@P14 int,@P15 int,@P16 bigint,@P17 nvarchar(4000),@P18 datetime2,@P19 datetime2,@P20 nvarchar(4000),@P21 int,@P22 int,@P23 int,@P24 bigint,@P25 nvarchar(4000),@P26 datetime2,@P27 datetime2,@P28 nvarchar(4000),@P29 int,@P30 int,@P31 int,@P32 bigint,@P33 nvarchar(4000),@P34 datetime2,@P35 datetime2,@P36 nvarchar(4000),@P37 int,@P38 int,@P39 int,@P40 bigint,@P41 nvarchar(4000),@P42 datetime2,@P43 datetime2,@P44 nvarchar(4000),@P45 int,@P46 int,@P47 int,@P48 bigint,@P49 nvarchar(4000),@P50 datetime2,@P51 datetime2,@P52 nvarchar(4000),@P53 int,@P54 int,@P55 int,@P56 bigint,@P57 nvarchar(4000),@P58 datetime2,@P59 datetime2,@P60 nvarchar(4000),@P61 int,@P62 int,@P63 int,@P64 bigint,@P65 nvarchar(4000),@P66 datetime2,@P67 datetime2,@P68 nvarchar(4000),@P69 int,@P70 int,@P71 int,@P72 bigint,@P73 nvarchar(4000),@P74 datetime2,@P75 datetime2,@P76 nvarchar(4    "
"rs_db",process2066d0e2ca8,"KEY: 5:72057594152288256 (318e2ffa1748) KEY: 5:72057594567655424 (9196e35b818d)","U X",2,"2025/11/28 16:30:47.560","2025/11/28 16:30:47.560","(@P0 varchar(8000),@P1 int,@P2 bigint,@P3 varchar(8000),@P4 varchar(8000),@P5 varchar(8000),@P6 bigint,@P7 varchar(8000),@P8 int,@P9 datetime2,@P10 varchar(8000))update [wagering_general].[combination_odds_changes] set combination_status_odps= @P0 ,exprr_preload_indicator= @P1 ,last_updated_time_drop_base= @P2 ,migration_key= @P3 ,migration_key_2= @P4 ,odds_drop_base= @P5 ,odds_drop_percentage= @P6 ,pool_id= @P7 ,sys_active_indicator= @P8 ,sys_updated_datetime= @P9 where combination_id= @P10     "
"rs_db",process2066d0e2ca8,"KEY: 5:72057594152288256 (318e2ffa1748) KEY: 5:72057594567655424 (9196e35b818d)","U X",2,"2025/11/28 16:30:47.560","2025/11/28 16:30:47.560","(@P0 varchar(8000),@P1 int,@P2 bigint,@P3 varchar(8000),@P4 varchar(8000),@P5 varchar(8000),@P6 varchar(8000),@P7 int,@P8 datetime2,@P9 varchar(8000))update [wagering_overseas].[combination_odds_changes_overseas] set combination_status_odps= @P0 ,exprr_preload_indicator= @P1 ,last_updated_time_drop_base_odps= @P2 ,migration_key= @P3 ,migration_key_2= @P4 ,odds_drop_base_odps= @P5 ,pool_id= @P6 ,sys_active_indicator= @P7 ,sys_updated_datetime= @P8 where combination_id= @P9     "
master,process29a4a21f088,"KEY: 5:72057594042449920 (832105dc52c4)",S,2,"2025/11/26 09:33:25.220","2025/11/26 09:33:25.220",",@parent_event_id"
master,process2a54487aca8,"KEY: 5:72057594042449920 (5b301cdafa0d) PAGE: 5:1:5218716 ","IX S",2,"2025/11/26 09:33:17.200","2025/11/26 09:33:17.200","SELECT DISTINCT TAL.task_id,created_by,locked_by,full_assignment_roles_name,name FROM [K2_Custom].[dbo].[task_assignment_log] TAL INNER JOIN [K2_Custom].[dbo].[task_log] TL ON TAL.task_id = TL.task_id where name = 'Event Template - Create/Update' and description like '%TR3IN1AutoCupT21126O%' AND is_completed = 0 and is_expired = 0 AND is_cancelled = 0    "
"K2_Custom","process33f2375e108 process39d97f38108","KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",2,"2025/11/27 09:41:48.970","2025/11/26 09:33:28.870","[final_status] = ISNULL(@action, [final_status])"
"K2_Custom",,"KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S",2,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","exchangeEvent id=Pipe3e2efcfc400 WaitType=e_waitPipeGetRow waiterType=Coordinator nodeId=4 tid=0 ownerActivity=sentData waiterActivity=needMoreData merging=false spilling=false waitingToClose=false"
master,"process2d33d7df468 process3ef7f2d48c8","KEY: 5:72057594042449920 (320237d00257) KEY: 5:72057594042449920 (9a5940c47374) PAGE: 5:1:5218716 ","IX S",2,"2025/11/26 09:33:18.010","2025/11/26 09:33:15.840","frame procname=adhoc line=1 stmtend=704 sqlhandle=0x02000000118ac22d615f368b2f58b499d4000b5cf656014a0000000000000000000000000000000000000000"
"rs_db",process2066d0e2ca8,"KEY: 5:72057594152288256 (318e2ffa1748) KEY: 5:72057594567655424 (9196e35b818d)","U X",2,"2025/11/28 16:30:47.560","2025/11/28 16:30:47.560","frame procname=adhoc line=1 stmtstart=300 stmtend=950 sqlhandle=0x020000008b676f030f39c5c1156950cdc2811475e9c7c06c0000000000000000000000000000000000000000"
"rs_db",process2066d0e2ca8,"KEY: 5:72057594152288256 (318e2ffa1748) KEY: 5:72057594567655424 (9196e35b818d)","U X",2,"2025/11/28 16:30:47.560","2025/11/28 16:30:47.560","frame procname=adhoc line=1 stmtstart=324 stmtend=990 sqlhandle=0x0200000023bd1631357b77da4c8ad0525587805e0eeaa0330000000000000000000000000000000000000000"
"application_control",process190ec882108,"KEY: 12:72057594218938368 (12878ef64973) PAGE: 12:1:17961 ",U,2,"2025/11/24 10:09:37.970","2025/11/24 10:09:37.970","frame procname=adhoc line=1 stmtstart=94 stmtend=752 sqlhandle=0x02000000d85b8e3acfc964af8afc473dd67fa8459e7515c10000000000000000000000000000000000000000"
"application_control",process190ec882108,"KEY: 12:72057594218938368 (12878ef64973) PAGE: 12:1:17961 ",U,2,"2025/11/24 10:09:37.970","2025/11/24 10:09:37.970","frame procname=adhoc line=1340 stmtstart=72252 stmtend=73414 sqlhandle=0x02000000f3597538df79290609417038884563ed2d2cca290000000000000000000000000000000000000000"
"agp4_db",process249e5e51c28,"METADATA: database_id = 5 STATS(object_id = 1960654328, stats_id = 12), lockPartitionId = 0 METADATA: database_id = 5 STATS(object_id = 917174613, stats_id = 18), lockPartitionId = 0","Sch-M Sch-S",2,"2025/11/29 08:46:51.230","2025/11/29 08:46:51.230","frame procname=agp4_db.dbo.usp_agp_get_edabi_rpt_1534 line=27 stmtstart=-1 sqlhandle=0x0300050071df8005793db1009bb3000001000000000000000000000000000000000000000000000000000000"
"agp4_db",process249e5e51c28,"METADATA: database_id = 5 STATS(object_id = 1960654328, stats_id = 12), lockPartitionId = 0 METADATA: database_id = 5 STATS(object_id = 917174613, stats_id = 18), lockPartitionId = 0","Sch-M Sch-S",2,"2025/11/29 08:46:51.230","2025/11/29 08:46:51.230","frame procname=agp4_db.dbo.usp_get_ba_rpt_1111 line=22 stmtstart=-1 sqlhandle=0x0300050022f0dc3be23fb1009bb3000001000000000000000000000000000000000000000000000000000000"
"wagering_control","process1ff53a51c28 process1ffdff768c8","KEY: 8:415237773918208 (fcec3e9ea88d) KEY: 8:72057594055884800 (45042bc1724b)","S U",2,"2025/11/28 16:05:36.810","2025/11/28 16:05:31.800","frame procname=wagering_control.dbo.fn_get_race_allup_prp line=111 stmtstart=6322 stmtend=6562 sqlhandle=0x0300080050b07e4aeb76b2009bb3000000000000000000000000000000000000000000000000000000000000"
"wagering_control","process1ff53a51c28 process1ffdff768c8","KEY: 8:415237773918208 (fcec3e9ea88d) KEY: 8:72057594055884800 (45042bc1724b)","S U",2,"2025/11/28 16:05:36.810","2025/11/28 16:05:31.800","frame procname=wagering_control.dbo.wc_confirm_reinstate_starters line=905 stmtstart=64426 stmtend=65168 sqlhandle=0x030008005fca3d4b347cb2009bb3000001000000000000000000000000000000000000000000000000000000"
"K2_Custom",,"KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S",2,"2025/11/26 09:33:28.870","2025/11/26 09:33:28.870","is_expired = 0 AND"
master,process2d063c2a108,"KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S",2,"2025/11/26 09:33:21.870","2025/11/26 09:33:21.870","owner id=process2cb5e14c108 mode=X"
"K2_Custom","process33f2375e108 process39d97f38108","KEY: 5:72057594042187776 (37a748c39e82) KEY: 5:72057594042187776 (952c0ea9e198) KEY: 5:72057594042449920 (ebb3dc7ddcf7) PAGE: 5:1:5218717 ","IX S U",2,"2025/11/27 09:41:48.970","2025/11/26 09:33:28.870","owner-list"
"agp1_db",process1c91e9104e8,"METADATA: database_id = 5 STATS(object_id = 1544040932, stats_id = 24), lockPartitionId = 22","Sch-S",1,"2025/11/27 08:46:11.000","2025/11/27 08:46:11.000","(@P0 int OUTPUT,@P1 varchar(8000) OUTPUT,@P2 int)EXEC usp_agp_get_edabi_rpt_1507 @P0 OUT,@P1 OUT,@P2    "
"agp1_db",process1c39d879088,"METADATA: database_id = 5 STATS(object_id = 1544040932, stats_id = 24), lockPartitionId = 12","Sch-S",1,"2025/11/27 08:46:11.000","2025/11/27 08:46:11.000","(@P0 int OUTPUT,@P1 varchar(8000) OUTPUT,@P2 int)EXEC usp_get_ba_rpt_1051 @P0 OUT,@P1 OUT,@P2    "
master,process29a4a21f088,"KEY: 5:72057594042449920 (832105dc52c4)",S,1,"2025/11/26 09:33:25.220","2025/11/26 09:33:25.220",",@priority"
master,process29a4a21f088,"KEY: 5:72057594042449920 (832105dc52c4)",S,1,"2025/11/26 09:33:25.220","2025/11/26 09:33:25.220",",@request_object"
master,process2a54487aca8,"KEY: 5:72057594042449920 (5b301cdafa0d) PAGE: 5:1:5218716 ","IX S",1,"2025/11/26 09:33:17.200","2025/11/26 09:33:17.200","frame procname=adhoc line=1 stmtend=704 sqlhandle=0x02000000a737d22e8e3ea4f4ca2be31ae7e1480f04a7f34f0000000000000000000000000000000000000000"
"agp1_db",process1c91e9104e8,"METADATA: database_id = 5 STATS(object_id = 1544040932, stats_id = 24), lockPartitionId = 22","Sch-S",1,"2025/11/27 08:46:11.000","2025/11/27 08:46:11.000","frame procname=agp1_db.dbo.usp_agp_get_edabi_rpt_1507 line=22 stmtstart=758 stmtend=7692 sqlhandle=0x03000500c279904f9120b1009bb3000001000000000000000000000000000000000000000000000000000000"
"agp1_db",process1c39d879088,"METADATA: database_id = 5 STATS(object_id = 1544040932, stats_id = 24), lockPartitionId = 12","Sch-S",1,"2025/11/27 08:46:11.000","2025/11/27 08:46:11.000","frame procname=agp1_db.dbo.usp_get_ba_rpt_1051 line=71 stmtstart=4082 stmtend=12480 sqlhandle=0x030005000288990caa22b1009bb3000001000000000000000000000000000000000000000000000000000000"
"wagering_control",process1ffdff768c8,"KEY: 8:415237773918208 (fcec3e9ea88d) KEY: 8:72057594055884800 (45042bc1724b)","S U",1,"2025/11/28 16:05:31.800","2025/11/28 16:05:31.800","frame procname=wagering_control.dbo.wcu_get_race line=99 stmtstart=5042 stmtend=5264 sqlhandle=0x0300080000ed8d60b78db2009bb3000001000000000000000000000000000000000000000000000000000000"
master,process2d063c2a108,"KEY: 5:72057594042449920 (9bf9b26f051d) PAGE: 5:1:5218717 ","IX S",1,"2025/11/26 09:33:21.870","2025/11/26 09:33:21.870","keylock hobtid=72057594042449920 dbid=5 objectname=K2_Custom.dbo.task_log indexname=PK_task_log id=lock2d4079d4e80 mode=X associatedObjectId=72057594042449920"
