currentdbname,victims,resources,"lock_modes",count,latest,earliest,"all_query"
"acp1_db","process1768d35b848 process50503362108","METADATA: database_id = 5 STATS(object_id = 1968218262, stats_id = 3), lockPartitionId = 0 METADATA: database_id = 5 STATS(object_id = 1968218262, stats_id = 9), lockPartitionId = 0","Sch-S",2,"2025/11/19 07:02:51.650","2025/11/13 08:01:12.560","(@P0 varchar(8000),@P1 int,@P2 bigint)EXEC usp_acp_get_cashout_open_bet_allup @P0,@P1,@P2    "
"acp1_db","process17639729c28 process1880ba5c8c8","METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 14), lockPartitionId = 0 METADATA: database_id = 5 STATS(object_id = 2000218376, stats_id = 35), lockPartitionId = 0","Sch-M Sch-S",2,"2025/11/23 09:47:42.970","2025/11/12 09:02:55.270","frame procname=acp1_db.dbo.usp_acp_asc_get_defer_activity_info line=43 stmtstart=4344 stmtend=97066 sqlhandle=0x0300050086b65c293dd4430055b3000001000000000000000000000000000000000000000000000000000000"
"acp1_db","process1768d35b848 process50503362108","METADATA: database_id = 5 STATS(object_id = 1968218262, stats_id = 3), lockPartitionId = 0 METADATA: database_id = 5 STATS(object_id = 1968218262, stats_id = 9), lockPartitionId = 0","Sch-S",2,"2025/11/19 07:02:51.650","2025/11/13 08:01:12.560","frame procname=acp1_db.dbo.usp_acp_get_cashout_open_bet_allup line=20 stmtstart=548 stmtend=5096 sqlhandle=0x03000500c020e63238d6430055b3000001000000000000000000000000000000000000000000000000000000"
"fb_db_v2",process2834b4b0108,"PAGE: 6:1:11620972  PAGE: 6:1:11639112 ","IX S",2,"2025/11/24 06:30:05.100","2025/11/24 06:30:05.100","frame procname=adhoc line=1 stmtstart=854 stmtend=2102 sqlhandle=0x02000000a25e2309ef483834a1dad776595d77ccefc50cdc0000000000000000000000000000000000000000"
"acp2_db",process1db85fae4e8,"METADATA:","Sch-M Sch-S",1,"2025/11/17 08:15:39.490","2025/11/17 08:15:39.490","(@P0 bigint,@P1 bigint,@P2 int)EXEC usp_acp_asc_get_all_activity_info @P0,@P1,@P2    "
"acp1_db",process1763972d468,"METADATA: database_id = 5 STATS(object_id = 1504216609, stats_id = 7), lockPartitionId = 0","Sch-S",1,"2025/11/23 21:00:05.090","2025/11/23 21:00:05.090","(@P0 bigint,@P1 int,@P2 int)EXEC usp_acp_get_all_activity_info @P0,@P1,@P2    "
"agp2_db",process191d179fc28,"METADATA: database_id = 6 STATS(object_id = 1994542239, stats_id = 2), lockPartitionId = 0","Sch-S",1,"2025/11/09 06:46:10.930","2025/11/09 06:46:10.930","(@P0 int OUTPUT,@P1 varchar(8000) OUTPUT,@P2 int)EXEC usp_agp_get_edabi_rpt_1534 @P0 OUT,@P1 OUT,@P2    "
"acp1_db",process1763972d468,"METADATA: database_id = 5 STATS(object_id = 1504216609, stats_id = 7), lockPartitionId = 0","Sch-S",1,"2025/11/23 21:00:05.090","2025/11/23 21:00:05.090","frame procname=acp1_db.dbo.usp_acp_get_all_activity_info line=47 stmtstart=3524 stmtend=69980 sqlhandle=0x0300050087fcf131b8d5430055b3000001000000000000000000000000000000000000000000000000000000"
"acp2_db",process1db85fae4e8,"METADATA:","Sch-M Sch-S",1,"2025/11/17 08:15:39.490","2025/11/17 08:15:39.490","frame procname=acp2_db.dbo.usp_acp_asc_get_all_activity_info line=43 stmtstart=3330 stmtend=63422 sqlhandle=0x030005009dc7a17a5be8430055b3000001000000000000000000000000000000000000000000000000000000"
"agp2_db",process191d179fc28,"METADATA: database_id = 6 STATS(object_id = 1994542239, stats_id = 2), lockPartitionId = 0","Sch-S",1,"2025/11/09 06:46:10.930","2025/11/09 06:46:10.930","frame procname=agp2_db.dbo.usp_agp_get_edabi_rpt_1534 line=27 stmtstart=1248 stmtend=13116 sqlhandle=0x030006008a77927d09cd430055b3000001000000000000000000000000000000000000000000000000000000"
