time,host,currentdbname,isolationlevel,transactionname,lockMode,count,"all_query"
"2025/12/30 06:46:11.390",WINDB09HV02N,"agp2_db",read,"UpdateQPStats sqlsource_transform","Sch-M Sch-S",1,"(@P0 int OUTPUT,@P1 varchar(8000) OUTPUT,@P2 int)EXEC usp_get_ba_rpt_1072 @P0 OUT,@P1 OUT,@P2    "
"2025/12/22 06:46:56.740",WINDB08ST01N,"agp3_db",read,"sqlsource_transform","Sch-M Sch-S",1,"(@P0 int OUTPUT,@P1 varchar(8000) OUTPUT,@P2 int)EXEC usp_get_ba_rpt_1181 @P0 OUT,@P1 OUT,@P2    "
"2025/12/17 08:55:04.850",WINDB01HV02N,"acp1_db",read,"UpdateQPStats sqlsource_transform","Sch-M Sch-S",1,"(@P0 int OUTPUT,@P1 varchar(8000) OUTPUT,@P2 varchar(8000),@P3 bigint,@P4 int,@P5 int,@P6 int,@P7 int,@P8 [dbo].[tvpnc_trans] READONLY,@P9 int OUTPUT)EXEC usp_get_account_statement_filter_by_days @P0 OUT,@P1 OUT,@P2,@P3,@P4,@P5,@P6,@P7,@P8,@P9 OUT    "
"2025/12/07 01:12:37.810
2025/12/07 01:12:38.470
2025/12/08 00:44:22.050
2025/12/08 00:44:22.160
2025/12/08 00:44:22.270
2025/12/08 00:44:22.380
2025/12/08 04:09:38.820",WINFODB05ST12,"sps_db",read,"implicit_transaction",S,27,"(@P0 nvarchar(4000),@P1 decimal(38,0),@P2 decimal(38,0))SELECT TOP 1  TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Common_Scheduler' AND TRIGGER_STATE =  @P0 AND NEXT_FIRE_TIME <=  @P1 AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR <> -1 AND NEXT_FIRE_TIME >=  @P2 )) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC    "
"2025/12/03 04:18:18.170
2025/12/03 04:18:18.320
2025/12/03 04:18:18.430
2025/12/03 04:18:18.650
2025/12/03 04:18:18.760
2025/12/03 04:18:18.870
2025/12/03 04:18:19.310
2025/12/03 04:18:19.420
2025/12/03 04:18:19.530
2025/12/03 04:48:18.080
2025/12/03 04:48:18.390
2025/12/03 04:48:18.540
2025/12/03 04:48:18.760
2025/12/03 04:48:18.870
2025/12/03 05:06:18.810
2025/12/03 05:06:23.230
2025/12/03 05:06:23.540
2025/12/03 05:06:23.810
2025/12/03 05:56:22.810
2025/12/03 05:56:23.130
2025/12/04 06:04:19.880
2025/12/04 06:04:20.520
2025/12/04 06:04:20.830
2025/12/04 06:04:20.990
2025/12/04 23:10:22.020
2025/12/04 23:10:23.280
2025/12/04 23:48:17.470
2025/12/04 23:48:19.980
2025/12/04 23:48:21.890
2025/12/04 23:48:22.200
2025/12/04 23:48:22.360
2025/12/04 23:48:22.470
2025/12/06 00:50:17.380
2025/12/06 00:50:19.610
2025/12/06 00:50:19.980
2025/12/06 00:50:20.090
2025/12/06 00:50:20.200
2025/12/06 00:50:20.310
2025/12/06 00:50:20.420
2025/12/06 00:50:20.750
2025/12/06 00:50:20.860
2025/12/06 00:50:20.970
2025/12/06 03:52:31.060
2025/12/06 03:52:32.340
2025/12/06 03:52:32.980
2025/12/06 03:52:33.290
2025/12/06 03:52:33.450
2025/12/06 03:52:33.670
2025/12/06 03:52:33.880
2025/12/06 05:10:26.270
2025/12/06 05:10:26.380
2025/12/06 05:10:26.490
2025/12/06 05:10:26.600
2025/12/06 05:10:26.920
2025/12/06 05:10:27.030
2025/12/06 06:24:18.630
2025/12/06 06:24:19.900
2025/12/06 06:24:20.540
2025/12/06 15:02:20.380
2025/12/06 15:02:20.640
2025/12/06 15:02:20.970
2025/12/06 15:02:21.080
2025/12/07 00:12:21.680
2025/12/07 00:12:22.320
2025/12/07 00:12:22.790
2025/12/07 00:12:23.120
2025/12/07 00:12:23.230
2025/12/07 00:12:23.340
2025/12/07 01:12:37.920
2025/12/07 01:12:38.140
2025/12/07 01:12:38.250
2025/12/07 01:12:38.360
2025/12/07 01:12:38.690
2025/12/07 01:40:27.040
2025/12/07 01:40:29.560
2025/12/07 01:40:30.840
2025/12/07 01:40:31.460
2025/12/07 01:40:31.930
2025/12/07 01:40:32.040
2025/12/08 00:44:20.930
2025/12/08 00:44:21.240
2025/12/08 00:44:21.500
2025/12/08 00:44:21.610
2025/12/08 00:44:22.050
2025/12/08 00:44:22.160
2025/12/08 00:44:22.270
2025/12/08 01:46:21.330
2025/12/08 04:09:43.710
2025/12/08 05:10:19.990
2025/12/08 05:10:20.450
2025/12/08 05:10:20.560
2025/12/08 05:10:20.670
2025/12/08 05:10:20.780
2025/12/08 05:10:21.110
2025/12/08 05:10:21.220
2025/12/08 05:10:21.440
2025/12/08 05:10:21.550
2025/12/09 05:50:17.210
2025/12/09 05:50:18.470
2025/12/09 05:50:19.110
2025/12/09 05:50:19.580
2025/12/09 05:50:19.690
2025/12/09 05:50:19.800
2025/12/09 05:50:20.130
2025/12/09 05:50:20.240
2025/12/09 05:50:20.360
2025/12/09 05:50:20.580
2025/12/10 04:38:32.210
2025/12/10 04:38:33.480
2025/12/10 04:38:34.120
2025/12/10 04:38:34.690
2025/12/10 04:38:34.910
2025/12/10 04:38:35.020
2025/12/10 05:56:27.340
2025/12/10 05:56:28.610
2025/12/10 05:56:29.930
2025/12/10 05:56:30.040
2025/12/10 05:56:30.260
2025/12/10 05:56:30.370
2025/12/10 05:56:30.480
2025/12/10 05:56:30.700
2025/12/10 05:56:30.810
2025/12/10 05:58:26.430
2025/12/10 05:58:27.390
2025/12/10 05:58:27.540
2025/12/10 05:58:27.670
2025/12/10 05:58:27.780
2025/12/10 05:58:27.890
2025/12/10 06:00:26.900
2025/12/10 06:06:19.820
2025/12/10 06:06:21.090
2025/12/10 06:06:21.730
2025/12/10 06:06:22.040
2025/12/10 06:06:22.300
2025/12/10 06:06:22.520
2025/12/10 06:06:22.630
2025/12/10 06:06:22.740
2025/12/10 06:06:22.850
2025/12/10 06:06:22.960
2025/12/10 06:12:22.440
2025/12/10 06:12:22.900
2025/12/10 06:12:23.010
2025/12/10 06:12:23.120
2025/12/10 06:12:23.340
2025/12/10 06:12:23.450
2025/12/10 06:12:23.560
2025/12/10 06:12:23.670
2025/12/11 05:56:21.710
2025/12/11 05:56:22.020
2025/12/12 03:59:12.110
2025/12/12 03:59:12.750
2025/12/12 03:59:13.220
2025/12/12 03:59:13.330
2025/12/12 03:59:13.440
2025/12/12 03:59:13.770
2025/12/12 03:59:13.870
2025/12/12 03:59:13.980
2025/12/12 03:59:14.090
2025/12/12 03:59:14.420
2025/12/12 03:59:14.530
2025/12/12 06:11:10.990
2025/12/12 06:11:13.520
2025/12/12 06:11:14.780
2025/12/12 06:11:15.420
2025/12/12 06:11:15.730
2025/12/12 06:11:15.890
2025/12/12 06:11:16.220
2025/12/13 05:07:06.620
2025/12/13 05:07:08.990
2025/12/13 05:07:09.100
2025/12/13 05:07:09.210
2025/12/13 05:07:09.430
2025/12/13 05:07:09.760
2025/12/13 05:07:09.860
2025/12/13 05:07:09.970
2025/12/13 05:11:10.370
2025/12/13 05:11:12.890
2025/12/13 05:11:14.150
2025/12/13 05:11:14.790
2025/12/13 05:11:15.100
2025/12/13 05:11:15.370
2025/12/13 05:11:15.480
2025/12/13 05:11:15.690
2025/12/13 05:11:15.910
2025/12/13 05:11:16.020
2025/12/13 05:11:16.130
2025/12/13 05:13:13.100
2025/12/13 05:13:13.540
2025/12/13 05:13:13.650
2025/12/13 05:13:13.750
2025/12/13 05:17:13.450
2025/12/13 05:17:13.560
2025/12/13 05:17:13.660
2025/12/13 05:17:14.100
2025/12/13 05:57:27.520
2025/12/13 22:38:04.010
2025/12/13 22:38:05.280
2025/12/13 22:38:06.380
2025/12/13 22:50:00.110
2025/12/13 22:50:00.910
2025/12/13 22:50:01.130
2025/12/13 23:54:36.240
2025/12/13 23:54:36.550
2025/12/13 23:54:36.710
2025/12/13 23:54:36.830
2025/12/13 23:54:36.940
2025/12/13 23:54:37.160
2025/12/13 23:54:37.270
2025/12/13 23:54:37.380
2025/12/13 23:54:37.490
2025/12/13 23:54:37.590
2025/12/14 00:58:06.250
2025/12/14 00:58:06.890
2025/12/14 01:12:12.560
2025/12/14 01:12:13.820
2025/12/14 01:12:14.460
2025/12/14 01:12:15.370
2025/12/14 01:12:15.590
2025/12/14 01:12:15.700
2025/12/14 01:14:17.570
2025/12/14 01:14:21.350
2025/12/14 01:14:21.990
2025/12/14 01:14:22.300
2025/12/14 01:14:22.790
2025/12/14 01:14:23.010
2025/12/14 01:14:23.120
2025/12/14 01:14:23.340
2025/12/14 01:16:24.630
2025/12/14 01:16:25.100
2025/12/14 01:16:25.210
2025/12/14 01:16:25.540
2025/12/14 01:16:25.650
2025/12/14 01:18:11.470
2025/12/14 01:18:12.110
2025/12/14 01:18:12.430
2025/12/14 01:18:12.600
2025/12/14 01:20:04.430
2025/12/14 01:20:04.760
2025/12/14 01:20:04.870
2025/12/14 01:20:05.200
2025/12/14 05:11:57.530
2025/12/14 05:12:00.340
2025/12/14 05:12:00.560
2025/12/15 01:12:31.450
2025/12/15 01:12:32.720
2025/12/20 05:10:22.380
2025/12/20 05:10:24.600
2025/12/20 05:10:24.750
2025/12/20 05:10:24.860
2025/12/20 05:10:24.970
2025/12/20 05:10:25.080
2025/12/20 05:14:22.170
2025/12/20 05:14:22.500
2025/12/20 05:14:22.610
2025/12/20 05:14:22.830
2025/12/20 05:14:22.930
2025/12/20 05:54:23.210
2025/12/20 05:54:23.520
2025/12/20 05:54:23.670
2025/12/20 05:54:23.780
2025/12/20 05:54:24.000
2025/12/20 05:54:24.110
2025/12/20 05:54:24.220
2025/12/20 05:54:24.330
2025/12/20 05:54:24.550
2025/12/20 05:56:25.210
2025/12/21 01:10:35.170
2025/12/21 01:10:38.420
2025/12/21 01:12:44.090
2025/12/21 01:12:45.190
2025/12/21 01:12:45.300
2025/12/21 01:12:45.410
2025/12/21 01:12:45.520
2025/12/21 01:12:45.630
2025/12/21 01:18:28.160
2025/12/21 23:12:35.170
2025/12/21 23:12:35.500
2025/12/21 23:44:26.280
2025/12/21 23:44:26.920
2025/12/22 01:46:21.990
2025/12/22 01:46:23.260
2025/12/22 01:46:23.900
2025/12/22 01:46:24.370
2025/12/22 01:46:24.480
2025/12/22 02:32:08.940
2025/12/22 02:32:12.720
2025/12/22 02:32:13.360
2025/12/22 02:32:13.940
2025/12/22 02:32:14.050
2025/12/22 02:32:14.160
2025/12/22 02:32:14.590
2025/12/22 02:32:14.700
2025/12/27 01:08:25.850
2025/12/27 01:08:27.120
2025/12/27 01:08:27.760
2025/12/27 01:08:28.070
2025/12/27 01:08:28.340
2025/12/27 01:08:28.440
2025/12/27 01:08:28.550
2025/12/27 01:08:28.990
2025/12/27 01:08:29.210
2025/12/27 01:08:29.320
2025/12/27 01:08:29.430
2025/12/27 01:12:36.540
2025/12/27 01:12:37.200
2025/12/27 01:14:40.260
2025/12/27 01:14:40.370
2025/12/27 01:14:40.470
2025/12/27 01:14:40.580
2025/12/27 01:14:40.690
2025/12/28 01:12:25.730
2025/12/28 01:12:26.990
2025/12/28 01:12:27.630
2025/12/28 01:12:27.940
2025/12/28 01:12:28.100
2025/12/28 01:12:28.430
2025/12/28 01:12:28.540
2025/12/28 01:12:28.760
2025/12/28 01:12:28.870
2025/12/28 01:12:28.980
2025/12/30 04:37:27.740
2025/12/30 04:37:29.650
2025/12/30 05:48:26.030
2025/12/30 05:48:27.940
2025/12/30 05:48:28.250
2025/12/30 05:48:28.400
2025/12/30 05:48:28.620
2025/12/30 05:48:29.060
2025/12/30 05:54:25.370
2025/12/30 05:54:26.330
2025/12/30 05:54:26.480
2025/12/30 05:54:26.590
2025/12/30 05:54:26.810
2025/12/30 05:54:26.940
2025/12/30 05:54:27.050
2025/12/30 05:54:27.150
2025/12/30 05:58:29.000
2025/12/30 05:58:29.470
2025/12/30 05:58:29.580
2025/12/30 05:58:29.690
2025/12/30 05:58:29.800
2025/12/30 05:58:30.020
2025/12/30 05:58:30.130
2025/12/30 06:00:31.640
2025/12/30 06:00:31.960
2025/12/30 06:00:32.110
2025/12/30 06:00:32.440
2025/12/31 05:56:26.930
2025/12/31 05:56:28.190
2025/12/31 05:56:28.830
2025/12/31 05:56:29.150
2025/12/31 05:56:29.300
2025/12/31 05:56:29.410
2025/12/31 05:56:29.740
2025/12/31 05:56:29.850
2025/12/31 05:56:29.960
2025/12/31 05:56:30.070",WINFODB05ST12,"sps_db",read,"implicit_transaction",S,1235,"(@P0 nvarchar(4000),@P1 decimal(38,0),@P2 decimal(38,0))SELECT TOP 10  TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Common_Scheduler' AND TRIGGER_STATE =  @P0 AND NEXT_FIRE_TIME <=  @P1 AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR <> -1 AND NEXT_FIRE_TIME >=  @P2 )) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC    "
"2025/12/03 04:18:18.980
2025/12/13 22:49:50.710
2025/12/14 01:12:14.780
2025/12/14 01:14:22.570
2025/12/14 01:14:23.230
2025/12/30 05:48:28.510
2025/12/30 05:48:28.950",WINFODB05ST12,"sps_db",read,"implicit_transaction",S,23,"(@P0 nvarchar(4000),@P1 decimal(38,0),@P2 decimal(38,0))SELECT TOP 2  TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Common_Scheduler' AND TRIGGER_STATE =  @P0 AND NEXT_FIRE_TIME <=  @P1 AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR <> -1 AND NEXT_FIRE_TIME >=  @P2 )) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC    "
"2025/12/03 04:48:08.630
2025/12/03 04:48:17.440
2025/12/06 00:50:09.850
2025/12/06 00:50:20.640
2025/12/11 05:56:19.800
2025/12/21 01:10:37.760",WINFODB05ST12,"sps_db",read,"implicit_transaction",S,19,"(@P0 nvarchar(4000),@P1 decimal(38,0),@P2 decimal(38,0))SELECT TOP 3  TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Common_Scheduler' AND TRIGGER_STATE =  @P0 AND NEXT_FIRE_TIME <=  @P1 AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR <> -1 AND NEXT_FIRE_TIME >=  @P2 )) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC    "
"2025/12/13 05:07:08.830
2025/12/13 05:07:09.760",WINFODB05ST12,"sps_db",read,"implicit_transaction",S,7,"(@P0 nvarchar(4000),@P1 decimal(38,0),@P2 decimal(38,0))SELECT TOP 4  TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Common_Scheduler' AND TRIGGER_STATE =  @P0 AND NEXT_FIRE_TIME <=  @P1 AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR <> -1 AND NEXT_FIRE_TIME >=  @P2 )) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC    "
"2025/12/14 01:16:22.730
2025/12/14 05:11:58.790
2025/12/14 05:12:00.450
2025/12/20 05:56:21.430
2025/12/22 01:46:24.590
2025/12/27 01:08:28.660
2025/12/27 01:08:29.100
2025/12/31 05:56:19.400",WINFODB05ST12,"sps_db",read,"implicit_transaction",S,25,"(@P0 nvarchar(4000),@P1 decimal(38,0),@P2 decimal(38,0))SELECT TOP 5  TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Common_Scheduler' AND TRIGGER_STATE =  @P0 AND NEXT_FIRE_TIME <=  @P1 AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR <> -1 AND NEXT_FIRE_TIME >=  @P2 )) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC    "
"2025/12/16 06:10:14.990
2025/12/20 05:54:13.760
2025/12/20 05:54:21.300",WINFODB05ST12,"sps_db",read,"implicit_transaction",S,10,"(@P0 nvarchar(4000),@P1 decimal(38,0),@P2 decimal(38,0))SELECT TOP 6  TRIGGER_NAME, TRIGGER_GROUP, NEXT_FIRE_TIME, PRIORITY FROM QRTZ_TRIGGERS WHERE SCHED_NAME = 'Common_Scheduler' AND TRIGGER_STATE =  @P0 AND NEXT_FIRE_TIME <=  @P1 AND (MISFIRE_INSTR = -1 OR (MISFIRE_INSTR <> -1 AND NEXT_FIRE_TIME >=  @P2 )) ORDER BY NEXT_FIRE_TIME ASC, PRIORITY DESC    "
