"_time",host,"database_name","session_id","wait_type",command,"head_blocker","query_text"
"2025-12-24T08:40:57.000+0800",IDASTBDB03,"fb_db_v2",1166,"PAGEIOLATCH_EX",DELETE,1,"DECLARE @rcount1 AS INT =1                 WHILE @rcount1 > 0                 BEGIN                     DECLARE @tmpDeletedRows TABLE(msg_id BIGINT, msg_tpc VARCHAR(200))                     BEGIN TRANSACTION                     BEGIN TRY                         DELETE TOP (5000)                         FROM operational.src_msg_process                         OUTPUT DELETED.msg_id, DELETED.msg_tpc                         INTO @tmpDeletedRows (msg_id, msg_tpc)                         WHERE sys_created_datetime < DATEADD(DAY, -15, cast(getDate() As Date))                         SET @rcount1 = @@ROWCOUNT                         IF @rcount1 > 0                         BEGIN                             DELETE sml                             FROM operational.src_msg_log sml                             INNER JOIN @tmpDeletedRows tmp                                 ON tmp.msg_id = sml.msg_id                                 AND tmp.msg_tpc = sml.msg_tpc                             WHERE 1 = 1                         END                         SET @rcount1 = @@ROWCOUNT                     END TRY                     BEGIN CATCH                         ROLLBACK TRANSACTION;                     END CATCH;                     IF @@TRANCOUNT > 0                         COMMIT TRANSACTION;                       WAITFOR DELAY '00:00:00.1';                 END"
"2025-12-22T15:00:46.000+0800",WINDB11ST01N,"asc_db",83,"PAGELATCH_EX",UPDATE,1,"(@P0 smallint,@P1 nvarchar(4000),@P2 varbinary(8000),@P3 varbinary(8000),@P4 varbinary(8000),@P5 bigint,@P6 datetime2,@P7 varbinary(8000),@P8 bigint,@P9 smallint,@P10 nvarchar(4000),@P11 smallint,@P12 nvarchar(4000),@P13 varbinary(8000),@P14 varbinary(8000),@P15 varbinary(8000),@P16 bigint,@P17 datetime2,@P18 varbinary(8000),@P19 bigint)IF EXISTS (SELECT NULL FROM fo_poc_worm_file_list WHERE system = @P0 and filename = @P1) UPDATE fo_poc_worm_file_list SET timestamp = GETDATE(), first_act_id = @P2, last_act_id = @P3, last_line_read = @P4, fileSize = @P5, last_modfied = @P6, freeze = @P7, LastIndex = @P8 WHERE system = @P9 and filename = @P10 ELSE INSERT INTO fo_poc_worm_file_list VALUES (@P11, GETDATE(), @P12, @P13, @P14, @P15, @P16, @P17, @P18, @P19);"
