updated,db,host,Path,trend,"is_up","range_mb","used_%","used_mb","allocated_mb",free,"target_allocation_mb"
"2026-01-31 02:30:02","oi_analytics_db",WINFODB06ST11,"J:\MSSQL15.WININS\MSSQL\Data\OI\oi_analytics_db_month_03.ndf","##__SPARKLINE__##,,,,,,,,,,,,,,,,,,,,10138,10544,14734,26971,39467,66659,81191,92809,101842,101884,101904,101977",Y,91839,"99.20",101977,102799,"9.6T",2204136
"2026-01-31 02:30:02","oi_analytics_db",WINFODB06ST11,"J:\MSSQL15.WININS\MSSQL\Data\OI\oi_analytics_db_year_2021.ndf","##__SPARKLINE__##,,,,,,,,,,,,,,,,,,,,293787,294026,294405,295628,297859,298947,306809,312482,314999,317568,317582,317617",Y,23830,"99.46",317617,319329,"9.6T",571920
